user_id,tag,weight
u01,y2k,0.7
u01,vintage,0.6
u01,streetwear,0.6
u01,denim,0.5
u02,y2k,0.9
u02,coquette,0.8
u02,streetwear,0.6
u03,avant_garde,0.9
u03,goth,0.9
u03,alt,0.8
u03,vintage,0.5
u04,basics,0.9
u04,minimalist,0.8
u04,workwear,0.7
u04,neutral_palette,0.6
u05,vintage,0.9
u05,denim,0.9
u05,western,0.6
u06,streetwear,0.8
u06,sneakers,0.9
u06,graphic_tees,0.7
u07,sustainable,0.9
u07,boho,0.7
u07,linen,0.8
u08,home_decor,0.9
u08,midcentury,0.8
u08,ceramics,0.7
u09,formal,0.9
u09,minimalist,0.7
u09,neutral_palette,0.8
u10,vintage,0.7
u10,streetwear,0.6
u10,ethnic_fusion,0.8

